ID,NAME,cns e14,ovary adult,limb e14.5,whole brain e14.5,cns e11.5,cns e18,adrenal adult,thymus adult,bladder adult,lung adult,mammary gland adult,colon adult,frontal lobe adult,cerebellum adult,testis adult,spleen adult,cortex adult,subcutaneous fat pad adult,duodenum adult,genital fat pad adult,placenta adult,stomach adult,small intestine adult,kidney adult,large intestine adult,liver e14,liver e14.5,heart adult,liver e18,liver adult
626391,Zfp951,0.350613,0.370637,0.560278,0.530603,0.389472,0.479468,0.225017,1.09484,0.633323,0.461814,0.531748,0.0498369,0.440013,0.304705,0.618416,0.410156,0.315311,0.396426,0.0902705,0.181284,1.59314,0.0490035,0.114894,0.120221,0.145157,0.179565,0.202589,0.241761,0.208405,0.104791
240067,Zfp952,3.03439,0.424144,2.35788,2.85483,2.96284,3.44777,0.250762,0.737523,2.51948,0.623216,0.610126,0.323296,2.3364,2.30111,0.2914,0.516491,1.95354,1.0936,0.141201,0.915177,1.31934,0.0770843,0.130523,0.581274,0.725442,1.04754,0.832696,0.597584,0.805252,0.291302
232853,Zfp954,5.46429,2.65061,3.26813,5.52601,4.01827,6.2142,1.73378,3.94199,4.59626,2.26791,2.31408,3.03362,3.15804,3.73811,0.566561,2.22577,3.06885,2.55799,1.69349,2.50031,4.35362,1.86745,2.73124,2.62703,5.59428,2.00887,1.75524,1.03575,1.74968,1.42511
77652,Zfp955a,3.82237,0.439361,2.72995,3.61368,3.52957,4.51062,0.220481,1.36012,3.07899,0.711732,0.737629,0.279454,2.21093,2.32217,1.35059,0.345555,1.84771,0.841789,0.0760831,0.982009,2.09719,0.0794948,0.128358,0.816567,0.617378,1.77184,1.28993,1.52782,1.23853,0.451823
100043468,Zfp955b,4.15537,0.491932,2.76058,3.46976,4.01477,4.75048,0.212657,1.56001,3.1551,0.891823,0.82796,0.30687,2.78201,3.23595,1.80593,0.416818,2.63708,0.981179,0.0933731,0.956393,2.1684,0.0998108,0.128328,0.995057,0.71036,1.72411,1.30538,1.50235,1.17494,0.508467
101197,Zfp956,8.15986,10.9354,11.3797,9.03181,4.0682,11.913,5.04134,11.9197,4.86824,4.10703,6.56971,4.82346,7.98733,8.84741,28.2754,9.1236,6.92573,4.63829,3.21415,5.59586,3.35518,2.36674,2.66379,3.11068,4.19979,2.67907,3.06462,1.05746,2.65838,1.65456
105590,Zfp957,0.0408794,0.237537,0.0199403,0.0395678,0.0171151,0.0493946,0.0820184,0.131231,0.0126098,0.0679424,0.0619042,0.0389274,0.0723608,0.16975,1.61597,0.066754,0.0438571,0.0695586,0.0425219,0.0919085,0.012169,0.0238026,0.0892991,0.0768458,0.0607105,0.00822864,0.00286092,0.0131737,0.00527304,0.0259457
233987,Zfp958,1.42975,0.157337,1.06027,1.28288,1.35653,1.65918,0.0803681,0.303085,1.52999,0.20718,0.187413,0.131551,1.07111,1.31227,0.215052,0.198522,0.963246,0.322257,0.0486133,0.332395,1.20748,0.0293736,0.0348006,0.302097,0.237501,0.851631,0.651166,0.385407,0.633333,0.214439
224893,Zfp959,1.57617,0.972899,1.32414,1.29547,1.38834,1.56332,0.914581,0.825789,1.71531,0.848671,0.697182,0.57792,0.94575,1.13153,0.85814,0.854778,0.831804,0.607091,0.579221,1.3412,0.856619,0.772108,0.270367,0.781831,0.497661,1.15704,0.872605,0.415194,0.991216,0.534344
449000,Zfp960,0.961738,0.121551,1.29833,0.822966,1.24632,1.02569,0.00524335,0.176873,3.06548,0.363475,0.287117,0.121162,0.908243,0.689907,0.393751,0.165615,0.876634,0.429908,0.00113027,0.536641,1.90319,0.00679256,0.0251152,0.23168,0.349503,0.730351,0.577081,0.846059,0.811224,0.212656
234413,Zfp961,5.75034,1.03816,4.86165,4.97341,6.88237,5.07178,0.388226,1.97736,6.1249,1.43377,1.77422,0.725999,3.26779,4.23907,0.947779,1.38946,2.70026,1.55187,0.528373,1.67441,4.83538,0.429268,0.47195,2.32766,1.84976,4.39506,3.98568,1.39565,2.99624,0.968094
620419,Zfp963,3.7222,1.11365,3.46274,3.05804,3.46941,2.68221,0.536994,1.03504,1.79911,0.972226,1.05309,0.58184,1.85419,1.69008,0.328457,0.694293,1.62667,1.00811,0.392767,0.946526,1.43963,0.251419,0.473473,0.93829,1.0003,1.27184,1.11616,1.02566,1.11342,0.696524
