ID,NAME,GROUP,ASSIGNMENT,URL
73610,Zfp433,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/73610
73729,Zfp383,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/73729
74149,Zfp946,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/74149
74352,Zfp84,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/74352
77519,Zfp266,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/77519
77652,Zfp955a,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/77652
78619,Zfp449,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/78619
78834,Zfp623,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/78834
80902,Zfp202,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/80902
104348,Zfp120,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/104348
104349,Zfp119a,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/104349
170763,Zfp87,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/170763
170938,Zfp617,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/170938
208292,Zfp871,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/208292
208968,Zfp280c,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/208968
212276,Zfp748,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/212276
212569,Zfp273,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/212569
218100,Zfp322a,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/218100
223669,Zfp7,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/223669
224585,Zfp160,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/224585
224694,Zfp81,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/224694
224893,Zfp959,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/224893
226442,Zfp281,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/226442
230162,Zfp189,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/230162
232337,Zfp637,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/232337
232853,Zfp954,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/232853
233056,Zfp790,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/233056
233987,Zfp958,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/233987
234358,Zfp930,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/234358
234362,Zfp868,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/234362
234413,Zfp961,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/234413
235028,Zfp426,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/235028
235469,Zfp280d,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/235469
235907,Zfp65,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/235907
235956,Zfp825,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/235956
236193,Zfp709,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/236193
238693,Zfp58,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/238693
240034,Zfp760,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/240034
240041,Zfp945,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/240041
240066,Zfp870,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/240066
240067,Zfp952,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/240067
240476,Zfp407,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/240476
244713,Zfp317,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/244713
245174,Zfp937,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/245174
246196,Zfp277,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/246196
319535,Zfp182,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/319535
319615,Zfp944,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/319615
330502,Zfp82,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/330502
331188,Zfp781,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/331188
408062,Zfp873,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/408062
408068,Zfp738,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/408068
432769,Zfp708,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/432769
434178,Zfp141,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/434178
434377,Zfp560,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/434377
620419,Zfp963,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/620419
100043468,Zfp955b,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/100043468
105245383,Zfp996,1,'cns e11.5|limb e14.5',https://www.ncbi.nlm.nih.gov/gene/105245383
22646,Zfp105,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/22646
22654,Zfp13,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/22654
22694,Zfp35,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/22694
22696,Zfp37,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/22696
22698,Zfp39,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/22698
29813,Zfp385a,2,'liver adult|testis adult',https://www.ncbi.nlm.nih.gov/gene/29813
